AX,AY,AZ
-0.23,-0.42,-0.80
-0.28,-0.43,-0.85
-0.26,-0.41,-0.90
-0.18,-0.44,-0.90
-0.21,-0.44,-0.88
-0.23,-0.45,-0.86
-0.26,-0.47,-0.84
-0.28,-0.44,-0.79
-0.30,-0.47,-0.75
-0.35,-0.46,-0.70
-0.34,-0.45,-0.65
-0.27,-0.49,-0.64
-0.27,-0.49,-0.66
-0.32,-0.52,-0.70
-0.33,-0.50,-0.82
-0.28,-0.51,-0.90
-0.24,-0.52,-0.92
-0.27,-0.52,-0.94
-0.31,-0.52,-0.93
-0.35,-0.51,-0.90
-0.32,-0.51,-0.82
-0.26,-0.52,-0.76
-0.23,-0.51,-0.74
-0.21,-0.50,-0.74
-0.21,-0.51,-0.72
-0.24,-0.51,-0.68
-0.27,-0.51,-0.65
-0.30,-0.50,-0.64
-0.29,-0.48,-0.65
-0.31,-0.51,-0.65
-0.35,-0.52,-0.74
-0.38,-0.54,-0.84
-0.41,-0.52,-0.86
-0.44,-0.53,-0.82
-0.48,-0.52,-0.80
-0.48,-0.52,-0.78
-0.44,-0.52,-0.75
-0.41,-0.52,-0.72
-0.40,-0.51,-0.70
-0.40,-0.51,-0.71
-0.41,-0.52,-0.75
-0.41,-0.51,-0.80
-0.39,-0.53,-0.79
-0.37,-0.51,-0.78
-0.37,-0.53,-0.78
-0.35,-0.54,-0.77
-0.34,-0.54,-0.77
-0.34,-0.55,-0.76
-0.33,-0.55,-0.77
-0.36,-0.55,-0.76
-0.38,-0.54,-0.77
-0.40,-0.53,-0.77
-0.39,-0.53,-0.75
-0.39,-0.52,-0.71
-0.39,-0.52,-0.66
-0.38,-0.53,-0.66
-0.40,-0.53,-0.67
-0.41,-0.52,-0.68
-0.40,-0.53,-0.69
-0.39,-0.53,-0.69
-0.39,-0.53,-0.71
-0.38,-0.53,-0.75
-0.42,-0.54,-0.76
-0.42,-0.55,-0.75
-0.44,-0.54,-0.73
-0.46,-0.52,-0.70
-0.44,-0.51,-0.70
-0.41,-0.53,-0.69
-0.44,-0.55,-0.71
-0.47,-0.54,-0.73
-0.46,-0.54,-0.74
-0.44,-0.54,-0.72
-0.43,-0.54,-0.69
-0.40,-0.55,-0.70
-0.37,-0.55,-0.72
-0.37,-0.54,-0.70
-0.40,-0.54,-0.68
-0.41,-0.53,-0.68
-0.40,-0.54,-0.69
-0.40,-0.54,-0.70
-0.41,-0.54,-0.73
-0.43,-0.53,-0.74
-0.45,-0.53,-0.72
-0.45,-0.55,-0.69
-0.44,-0.55,-0.69
-0.43,-0.55,-0.69
-0.42,-0.55,-0.68
-0.40,-0.54,-0.67
-0.37,-0.54,-0.68
-0.34,-0.55,-0.68
-0.37,-0.55,-0.66
-0.40,-0.55,-0.65
-0.42,-0.54,-0.67
-0.42,-0.55,-0.68
-0.43,-0.55,-0.69
-0.44,-0.54,-0.70
-0.43,-0.55,-0.72
-0.44,-0.55,-0.72
-0.47,-0.55,-0.71
-0.47,-0.55,-0.72
-0.43,-0.55,-0.73
-0.41,-0.55,-0.71
-0.42,-0.55,-0.68
-0.45,-0.55,-0.67
-0.47,-0.54,-0.68
-0.46,-0.54,-0.70
-0.42,-0.54,-0.70
-0.40,-0.54,-0.68
-0.42,-0.54,-0.69
-0.43,-0.53,-0.70
-0.43,-0.54,-0.70
-0.44,-0.54,-0.69
-0.45,-0.54,-0.69
-0.44,-0.54,-0.69
-0.42,-0.55,-0.70
-0.44,-0.54,-0.68
-0.44,-0.54,-0.68
-0.42,-0.54,-0.69
-0.41,-0.54,-0.70
-0.41,-0.54,-0.70
-0.42,-0.54,-0.71
-0.44,-0.52,-0.73
-0.43,-0.53,-0.72
-0.43,-0.54,-0.70
-0.44,-0.54,-0.69
-0.44,-0.54,-0.71
-0.44,-0.54,-0.70
-0.44,-0.55,-0.67
-0.44,-0.55,-0.67
-0.44,-0.54,-0.68
-0.43,-0.55,-0.68
-0.41,-0.55,-0.67
-0.40,-0.54,-0.67
-0.42,-0.54,-0.67
-0.45,-0.55,-0.67
-0.46,-0.53,-0.68
-0.45,-0.55,-0.70
-0.47,-0.54,-0.71
-0.49,-0.54,-0.72
-0.48,-0.55,-0.71
-0.48,-0.54,-0.70
-0.44,-0.54,-0.70
-0.43,-0.54,-0.69
-0.44,-0.54,-0.70
-0.44,-0.54,-0.70
-0.45,-0.54,-0.70
-0.45,-0.54,-0.69
-0.45,-0.55,-0.68
-0.44,-0.53,-0.69
-0.41,-0.54,-0.69
-0.42,-0.53,-0.67
-0.43,-0.52,-0.66
-0.41,-0.53,-0.67
-0.41,-0.53,-0.68
-0.43,-0.53,-0.67
-0.45,-0.53,-0.67
-0.47,-0.53,-0.69
-0.46,-0.54,-0.70
-0.45,-0.54,-0.70
-0.45,-0.54,-0.69
-0.45,-0.54,-0.69
-0.44,-0.54,-0.69
-0.43,-0.55,-0.69
-0.43,-0.53,-0.70
-0.43,-0.54,-0.70
-0.46,-0.54,-0.70
-0.47,-0.54,-0.70
-0.45,-0.54,-0.72
-0.44,-0.54,-0.70
-0.45,-0.54,-0.68
-0.45,-0.54,-0.67
-0.45,-0.53,-0.68
-0.43,-0.51,-0.68
-0.45,-0.54,-0.67
-0.47,-0.53,-0.68
-0.45,-0.53,-0.70
-0.44,-0.52,-0.70
-0.44,-0.54,-0.68
-0.46,-0.53,-0.68
-0.45,-0.53,-0.67
-0.45,-0.53,-0.67
-0.45,-0.54,-0.68
-0.45,-0.54,-0.70
-0.45,-0.53,-0.73
-0.46,-0.54,-0.71
-0.48,-0.53,-0.68
-0.48,-0.54,-0.65
-0.47,-0.53,-0.65
-0.45,-0.53,-0.67
-0.44,-0.53,-0.69
-0.46,-0.53,-0.69
-0.49,-0.53,-0.68
-0.50,-0.52,-0.68
-0.47,-0.53,-0.68
-0.45,-0.53,-0.68
-0.46,-0.53,-0.68
-0.45,-0.53,-0.70
-0.45,-0.53,-0.71
-0.46,-0.53,-0.70
-0.47,-0.53,-0.68
-0.47,-0.53,-0.67
-0.47,-0.53,-0.67
-0.47,-0.53,-0.68
-0.48,-0.52,-0.69
-0.46,-0.53,-0.69
-0.46,-0.53,-0.69
-0.47,-0.53,-0.67
-0.48,-0.53,-0.67
-0.48,-0.53,-0.68
-0.47,-0.52,-0.69
-0.46,-0.53,-0.68
-0.46,-0.53,-0.69
-0.48,-0.53,-0.69
-0.50,-0.52,-0.67
-0.49,-0.53,-0.68
-0.49,-0.52,-0.67
-0.47,-0.52,-0.67
-0.46,-0.52,-0.66
-0.45,-0.52,-0.68
-0.45,-0.53,-0.70
-0.47,-0.53,-0.72
-0.49,-0.53,-0.68
-0.50,-0.53,-0.67
-0.50,-0.53,-0.66
-0.49,-0.53,-0.68
-0.49,-0.52,-0.69
-0.46,-0.53,-0.69
-0.47,-0.51,-0.70
-0.46,-0.53,-0.71
-0.45,-0.52,-0.71
-0.46,-0.52,-0.67
-0.47,-0.53,-0.66
-0.47,-0.51,-0.69
-0.46,-0.53,-0.70
-0.49,-0.52,-0.68
-0.49,-0.52,-0.66
-0.48,-0.53,-0.66
-0.48,-0.53,-0.66
-0.49,-0.53,-0.65
-0.47,-0.54,-0.67
-0.47,-0.53,-0.66
-0.49,-0.53,-0.66
-0.50,-0.53,-0.68
-0.50,-0.53,-0.68
-0.49,-0.53,-0.67
-0.47,-0.52,-0.67
-0.43,-0.54,-0.66
-0.47,-0.54,-0.66
-0.52,-0.53,-0.64
-0.51,-0.53,-0.65
-0.49,-0.53,-0.66
-0.48,-0.53,-0.68
-0.50,-0.53,-0.69
-0.51,-0.53,-0.68
-0.49,-0.53,-0.67
-0.46,-0.54,-0.65
-0.48,-0.53,-0.65
-0.49,-0.53,-0.65
-0.49,-0.53,-0.66
-0.49,-0.54,-0.67
-0.49,-0.54,-0.65
-0.49,-0.53,-0.66
-0.50,-0.54,-0.67
-0.51,-0.53,-0.67
-0.50,-0.53,-0.67
-0.49,-0.54,-0.66
-0.50,-0.54,-0.65
-0.50,-0.54,-0.65
-0.49,-0.54,-0.64
-0.48,-0.53,-0.64
-0.48,-0.53,-0.66
-0.48,-0.54,-0.67
-0.50,-0.54,-0.67
-0.52,-0.54,-0.66
-0.51,-0.54,-0.64
-0.50,-0.53,-0.64
-0.49,-0.54,-0.64
-0.49,-0.53,-0.66
-0.48,-0.54,-0.68
-0.49,-0.54,-0.69
-0.50,-0.53,-0.66
-0.50,-0.54,-0.65
-0.49,-0.54,-0.65
-0.49,-0.54,-0.65
-0.50,-0.54,-0.66
-0.49,-0.54,-0.65
-0.48,-0.54,-0.64
-0.48,-0.54,-0.64
