timestamp,AX,AY,AZ
0,-0.23,-0.42,-0.80
18,-0.28,-0.43,-0.85
37,-0.26,-0.41,-0.90
55,-0.18,-0.44,-0.90
74,-0.21,-0.44,-0.88
92,-0.23,-0.45,-0.86
111,-0.26,-0.47,-0.84
129,-0.28,-0.44,-0.79
148,-0.30,-0.47,-0.75
166,-0.35,-0.46,-0.70
185,-0.34,-0.45,-0.65
203,-0.27,-0.49,-0.64
222,-0.27,-0.49,-0.66
240,-0.32,-0.52,-0.70
259,-0.33,-0.50,-0.82
277,-0.28,-0.51,-0.90
296,-0.24,-0.52,-0.92
314,-0.27,-0.52,-0.94
333,-0.31,-0.52,-0.93
351,-0.35,-0.51,-0.90
370,-0.32,-0.51,-0.82
388,-0.26,-0.52,-0.76
407,-0.23,-0.51,-0.74
425,-0.21,-0.50,-0.74
444,-0.21,-0.51,-0.72
462,-0.24,-0.51,-0.68
481,-0.27,-0.51,-0.65
499,-0.30,-0.50,-0.64
518,-0.29,-0.48,-0.65
536,-0.31,-0.51,-0.65
555,-0.35,-0.52,-0.74
573,-0.38,-0.54,-0.84
592,-0.41,-0.52,-0.86
610,-0.44,-0.53,-0.82
629,-0.48,-0.52,-0.80
647,-0.48,-0.52,-0.78
666,-0.44,-0.52,-0.75
684,-0.41,-0.52,-0.72
703,-0.40,-0.51,-0.70
721,-0.40,-0.51,-0.71
740,-0.41,-0.52,-0.75
758,-0.41,-0.51,-0.80
777,-0.39,-0.53,-0.79
795,-0.37,-0.51,-0.78
814,-0.37,-0.53,-0.78
832,-0.35,-0.54,-0.77
851,-0.34,-0.54,-0.77
869,-0.34,-0.55,-0.76
888,-0.33,-0.55,-0.77
906,-0.36,-0.55,-0.76
925,-0.38,-0.54,-0.77
943,-0.40,-0.53,-0.77
962,-0.39,-0.53,-0.75
980,-0.39,-0.52,-0.71
999,-0.39,-0.52,-0.66
1017,-0.38,-0.53,-0.66
1036,-0.40,-0.53,-0.67
1054,-0.41,-0.52,-0.68
1073,-0.40,-0.53,-0.69
1091,-0.39,-0.53,-0.69
1110,-0.39,-0.53,-0.71
1128,-0.38,-0.53,-0.75
1147,-0.42,-0.54,-0.76
1165,-0.42,-0.55,-0.75
1184,-0.44,-0.54,-0.73
1202,-0.46,-0.52,-0.70
1221,-0.44,-0.51,-0.70
1239,-0.41,-0.53,-0.69
1258,-0.44,-0.55,-0.71
1276,-0.47,-0.54,-0.73
1295,-0.46,-0.54,-0.74
1313,-0.44,-0.54,-0.72
1332,-0.43,-0.54,-0.69
1350,-0.40,-0.55,-0.70
1369,-0.37,-0.55,-0.72
1387,-0.37,-0.54,-0.70
1406,-0.40,-0.54,-0.68
1424,-0.41,-0.53,-0.68
1443,-0.40,-0.54,-0.69
1461,-0.40,-0.54,-0.70
1480,-0.41,-0.54,-0.73
1498,-0.43,-0.53,-0.74
1517,-0.45,-0.53,-0.72
1535,-0.45,-0.55,-0.69
1554,-0.44,-0.55,-0.69
1572,-0.43,-0.55,-0.69
1591,-0.42,-0.55,-0.68
1609,-0.40,-0.54,-0.67
1628,-0.37,-0.54,-0.68
1646,-0.34,-0.55,-0.68
1665,-0.37,-0.55,-0.66
1683,-0.40,-0.55,-0.65
1702,-0.42,-0.54,-0.67
1720,-0.42,-0.55,-0.68
1739,-0.43,-0.55,-0.69
1757,-0.44,-0.54,-0.70
1776,-0.43,-0.55,-0.72
1794,-0.44,-0.55,-0.72
1813,-0.47,-0.55,-0.71
1831,-0.47,-0.55,-0.72
1850,-0.43,-0.55,-0.73
1868,-0.41,-0.55,-0.71
1887,-0.42,-0.55,-0.68
1905,-0.45,-0.55,-0.67
1924,-0.47,-0.54,-0.68
1942,-0.46,-0.54,-0.70
1961,-0.42,-0.54,-0.70
1979,-0.40,-0.54,-0.68
1998,-0.42,-0.54,-0.69
2016,-0.43,-0.53,-0.70
