timestamp,AX,AY,AZ
0,-0.02,0.03,-1.03
18,-0.09,0.03,-1.03
37,-0.08,0.01,-0.87
55,-0.14,-0.00,-0.71
74,-0.24,-0.03,-0.62
92,-0.36,-0.03,-0.75
111,-0.50,-0.02,-0.94
129,-0.48,-0.04,-1.00
148,-0.40,-0.07,-0.99
166,-0.32,-0.07,-1.05
185,-0.25,-0.05,-1.06
203,-0.23,0.01,-0.86
222,-0.24,0.01,-0.58
240,-0.41,-0.02,-0.46
259,-0.57,-0.07,-0.61
277,-0.61,-0.09,-0.86
296,-0.50,-0.11,-0.96
314,-0.44,-0.10,-0.94
333,-0.56,-0.06,-1.04
351,-0.66,-0.07,-1.13
370,-0.61,-0.06,-1.06
388,-0.61,-0.08,-0.88
407,-0.61,-0.09,-0.75
425,-0.50,-0.14,-0.77
444,-0.41,-0.15,-0.87
462,-0.24,-0.16,-0.99
481,-0.05,-0.16,-1.02
499,-0.11,-0.01,-1.07
518,-0.07,-0.30,-1.28
536,-0.22,-0.11,-0.98
555,-0.28,-0.10,-0.84
573,-0.43,-0.07,-0.90
592,-0.64,-0.07,-0.78
610,-0.84,-0.15,-1.02
629,-0.47,-0.14,-0.96
647,-0.23,-0.12,-0.95
666,0.02,-0.11,-0.92
684,-0.01,-0.09,-0.98
703,-0.29,-0.02,-1.02
721,-0.59,0.04,-0.93
740,-0.83,0.08,-0.75
758,-0.86,0.04,-0.64
777,-0.69,0.04,-0.69
795,-0.55,-0.01,-0.83
814,-0.57,-0.01,-0.82
832,-0.65,-0.01,-0.79
851,-0.67,-0.02,-0.75
869,-0.65,-0.01,-0.71
888,-0.76,0.04,-0.56
906,-0.81,-0.03,-0.63
925,-0.83,-0.04,-0.72
943,-0.89,-0.00,-0.60
962,-0.97,-0.02,-0.51
980,-0.97,-0.02,-0.53
999,-0.91,-0.07,-0.57
1017,-0.83,-0.05,-0.60
1036,-0.83,-0.09,-0.62
1054,-0.80,-0.11,-0.68
1073,-0.74,-0.10,-0.72
1091,-0.85,-0.09,-0.67
1110,-0.90,-0.08,-0.70
1128,-0.83,-0.11,-0.71
1147,-0.75,-0.13,-0.71
1165,-0.75,-0.13,-0.72
1184,-0.77,-0.12,-0.69
1202,-0.74,-0.14,-0.68
1221,-0.66,-0.15,-0.68
1239,-0.64,-0.16,-0.67
1258,-0.67,-0.15,-0.63
1276,-0.66,-0.16,-0.64
1295,-0.71,-0.21,-0.67
1313,-0.69,-0.18,-0.72
1332,-0.75,-0.13,-0.68
1350,-0.77,-0.14,-0.66
1369,-0.64,-0.17,-0.76
1387,-0.58,-0.18,-0.74
1406,-0.66,-0.16,-0.68
1424,-0.70,-0.15,-0.66
1443,-0.61,-0.18,-0.72
1461,-0.65,-0.17,-0.73
1480,-0.70,-0.16,-0.72
1498,-0.76,-0.15,-0.69
1517,-0.80,-0.12,-0.68
1535,-0.83,-0.11,-0.66
1554,-0.82,-0.10,-0.62
1572,-0.76,-0.11,-0.66
1591,-0.73,-0.12,-0.71
1609,-0.80,-0.11,-0.68
1628,-0.82,-0.10,-0.71
1646,-0.73,-0.12,-0.73
1665,-0.74,-0.12,-0.71
1683,-0.72,-0.13,-0.72
1702,-0.67,-0.12,-0.72
1720,-0.63,-0.14,-0.73
1739,-0.64,-0.14,-0.75
1757,-0.73,-0.11,-0.74
1776,-0.77,-0.09,-0.73
1794,-0.80,-0.08,-0.75
1813,-0.84,-0.07,-0.73
1831,-0.77,-0.06,-0.66
1850,-0.71,-0.06,-0.64
1868,-0.78,-0.04,-0.64
1887,-0.77,-0.04,-0.68
1905,-0.82,-0.03,-0.73
1924,-0.79,-0.03,-0.74
1942,-0.74,-0.02,-0.78
1961,-0.75,-0.02,-0.79
1979,-0.80,0.01,-0.78
1998,-0.77,0.03,-0.74
2016,-0.73,-0.01,-0.77
2035,-0.72,0.04,-0.76
2053,-0.76,0.03,-0.79
2072,-0.70,0.01,-0.82
2090,-0.66,0.03,-0.79
2109,-0.64,0.03,-0.83
2127,-0.72,0.03,-0.76
2146,-0.75,0.04,-0.77
2164,-0.76,0.06,-0.80
