AX,AY,AZ
-0.47,0.43,-0.74
-0.47,0.43,-0.75
-0.47,0.43,-0.75
-0.47,0.43,-0.75
-0.47,0.44,-0.74
-0.47,0.44,-0.74
-0.48,0.44,-0.74
-0.47,0.43,-0.74
-0.47,0.43,-0.74
-0.47,0.43,-0.74
-0.47,0.43,-0.74
-0.47,0.43,-0.74
-0.47,0.43,-0.74
-0.47,0.44,-0.74
-0.47,0.44,-0.74
-0.47,0.44,-0.74
-0.47,0.43,-0.74
-0.54,0.20,-0.67
-0.59,-0.05,-0.53
-0.53,0.69,-0.60
-0.51,0.61,-0.96
-0.24,0.78,-0.91
-0.43,0.47,-0.90
-0.45,0.46,-0.71
-0.42,0.48,-0.71
-0.40,0.47,-0.78
-0.39,0.43,-0.83
-0.37,0.43,-0.87
-0.38,0.35,-0.82
-0.40,0.38,-0.78
-0.41,0.41,-0.73
-0.42,0.42,-0.73
-0.40,0.43,-0.78
-0.40,0.45,-0.84
-0.45,0.41,-0.82
-0.49,0.38,-0.69
-0.51,0.42,-0.57
-0.58,0.41,-0.63
-0.41,0.46,-0.90
-0.33,0.51,-0.95
-0.33,0.76,-0.70
-0.28,0.83,-0.71
-0.24,0.69,-0.91
-0.23,0.61,-0.90
-0.08,0.44,-0.74
-0.07,0.33,-0.83
-0.01,0.50,-0.74
-0.03,0.51,-0.73
-0.10,0.34,-0.68
-0.43,0.16,-0.91
-1.54,0.45,-0.77
-0.51,0.56,-0.90
-0.16,0.63,-0.97
-0.07,0.76,-0.70
0.06,0.45,-0.90
0.07,0.68,-0.88
0.06,0.88,-0.98
0.22,1.03,-1.00
0.28,0.94,-1.09
0.25,0.89,-1.01
0.25,0.85,-0.92
0.28,0.77,-1.02
0.29,0.75,-1.11
0.21,0.79,-1.12
0.11,0.84,-1.08
-1.25,1.00,-1.02
0.20,0.74,-1.04
0.43,0.75,-0.72
0.46,0.77,-0.61
0.49,0.75,-0.57
0.51,0.79,-0.52
0.51,0.74,-0.52
0.44,0.64,-0.47
0.23,0.63,-0.51
-0.04,0.61,-0.66
-0.27,0.63,-0.81
-0.37,0.71,-0.97
-0.30,0.78,-1.05
-0.09,0.82,-1.07
0.18,0.76,-0.94
