AX,AY,AZ
1.22
-0.81,-0.17,-1.30
-0.71,-0.16,-1.17
-0.60,-0.11,-1.03
-0.34,-0.04,-0.74
-0.25,-0.17,-0.50
-0.46,-0.12,-0.53
-0.54,-0.11,-0.76
-0.50,-0.13,-0.87
-0.44,-0.15,-0.88
-0.43,-0.16,-0.82
-0.45,-0.15,-0.71
-0.43,-0.15,-0.65
-0.36,-0.14,-0.73
-0.20,-0.12,-0.77
-0.08,-0.08,-0.87
0.04,-0.08,-0.80
-0.03,-0.11,-0.64
-0.30,-0.09,-0.76
-0.43,-0.13,-1.09
-0.38,-0.10,-1.23
-0.23,-0.11,-1.30
-0.05,-0.13,-1.14
0.10,-0.16,-0.91
0.14,-0.20,-0.72
0.15,-0.15,-0.64
0.13,-0.11,-0.70
0.10,-0.07,-0.66
0.06,-0.06,-0.67
0.02,-0.03,-0.83
-0.07,-0.02,-1.20
-0.03,-0.05,-1.27
0.07,-0.08,-1.28
0.12,-0.10,-1.22
0.10,-0.11,-1.18
0.16,-0.07,-1.05
0.28,-0.04,-0.82
0.38,-0.06,-0.85
0.46,-0.01,-0.81
0.52,-0.03,-1.09
0.26,0.01,-0.96
0.15,-0.02,-1.01
0.14,-0.01,-1.04
0.29,-0.02,-0.97
0.40,-0.04,-0.96
0.28,-0.03,-1.02
-0.02,-0.03,-0.82
-0.09,-0.03,-0.80
0.16,-0.06,-0.79
0.35,-0.07,-0.85
0.23,-0.07,-1.00
0.05,-0.07,-0.83
0.13,-0.06,-0.87
0.24,-0.04,-0.91
0.32,-0.06,-0.92
0.38,-0.08,-0.94
0.42,-0.07,-0.98
0.40,-0.06,-0.95
0.32,-0.07,-0.87
0.30,-0.05,-0.86
0.31,-0.09,-0.92
0.34,-0.07,-0.92
0.37,-0.05,-0.87
0.37,-0.07,-0.78
0.29,-0.04,-0.87
0.30,-0.04,-0.97
0.35,-0.05,-0.95
0.40,-0.05,-1.01
0.44,-0.04,-1.00
0.42,-0.05,-0.98
0.37,-0.05,-0.94
0.35,-0.07,-0.89
0.33,-0.06,-0.92
0.34,-0.07,-0.95
0.34,-0.07,-0.95
0.35,-0.07,-0.94
0.36,-0.07,-0.96
0.35,-0.06,-1.00
0.32,-0.07,-0.99
0.31,-0.06,-0.97
0.28,-0.07,-0.93
0.29,-0.05,-0.92
0.28,-0.06,-0.91
0.25,-0.07,-0.94
0.26,-0.06,-1.03
0.32,-0.07,-1.04
0.33,-0.10,-0.94
0.28,-0.10,-1.01
0.29,-0.11,-1.04
0.20,-0.10,-1.02
0.11,-0.09,-1.03
0.12,-0.08,-0.96
0.15,-0.10,-0.97
0.16,-0.11,-0.89
0.10,-0.11,-0.90
0.02,-0.11,-0.85
-0.04,-0.10,-0.96
0.03,-0.11,-1.03
0.08,-0.11,-1.12
-0.04,-0.10,-1.08
-0.10,-0.12,-1.09
-0.08,-0.11,-1.04
-0.07,-0.10,-0.96
-0.12,-0.10,-0.90
-0.20,-0.11,-0.81
-0.26,-0.12,-0.70
-0.28,-0.12,-0.69
-0.33,-0.13,-0.79
-0.38,-0.12,-0.96
-0.39,-0.12,-1.05
-0.34,-0.13,-1.06
-0.28,-0.14,-0.97
-0.33,-0.10,-0.87
-0.37,-0.13,-0.80
-0.46,-0.13,-0.76
-0.41,-0.14,-0.76
-0.33,-0.15,-0.82
-0.34,-0.15,-0.86
-0.49,-0.13,-0.87
-0.37,-0.13,-0.80
-0.15,-0.14,-0.69
-0.11,-0.12,-0.69
-0.01,-0.11,-0.72
0.09,-0.08,-0.74
0.17,-0.08,-1.01
0.21,-0.09,-1.30
0.29,-0.08,-1.22
0.26,-0.09,-1.00
0.22,-0.13,-0.91
0.24,-0.07,-0.95
0.42,-0.06,-0.91
0.57,-0.06,-0.82
0.62,-0.06,-0.74
0.61,-0.04,-0.70
0.59,-0.05,-0.69
0.64,-0.06,-0.75
0.79,-0.08,-0.94
0.94,-0.09,-0.99
1.01,-0.08,-0.92
0.92,-0.06,-0.77
0.82,-0.06,-0.72
0.78,-0.08,-0.79
0.83,-0.08,-0.82
0.83,-0.11,-0.70
0.77,-0.12,-0.62
0.74,-0.14,-0.72
0.69,-0.13,-0.69
0.48,-0.12,-0.73
0.35,-0.11,-0.78
0.29,-0.15,-0.78
0.18,-0.07,-0.77
-0.28,-0.26,-0.62
-0.53,-0.07,-0.45
-0.73,-0.06,-0.60
-0.76,0.00,-0.99
-0.63,0.05,-1.16
-0.50,-0.01,-1.15
-0.46,-0.09,-1.06
-0.45,-0.05,-0.81
-0.60,-0.05,-0.57
-0.84,-0.03,-0.60
-0.84,-0.04,-0.69
-0.53,-0.13,-0.65
-0.47,-0.11,-0.65
-0.52,-0.13,-0.64
-0.44,-0.13,-0.51
-0.42,-0.13,-0.55
-0.39,-0.06,-0.83
-0.24,-0.07,-1.04
-0.08,-0.10,-1.04
-0.10,-0.15,-0.75
-0.28,-0.15,-0.53
-0.17,-0.11,-0.53
0.28,-0.10,-0.67
0.70,-0.09,-0.78
0.89,-0.06,-0.99
0.90,-0.05,-1.14
0.67,-0.05,-1.19
0.36,-0.04,-1.10
0.12,-0.04,-0.93
0.14,-0.06,-0.78
0.32,-0.08,-0.74
0.56,-0.10,-0.66
0.73,-0.10,-0.63
0.83,-0.10,-0.73
0.78,-0.07,-0.85
0.82,-0.09,-0.70
0.89,-0.08,-0.56
0.94,-0.04,-0.68
1.03,-0.04,-0.81
1.06,-0.04,-0.68
1.08,-0.02,-0.50
1.23,-0.01,-0.56
1.42,-0.03,-0.70
1.46,-0.05,-0.65
1.38,-0.04,-0.49
1.36,-0.03,-0.44
1.35,-0.02,-0.58
1.28,-0.00,-0.70
1.06,0.02,-0.71
0.79,0.04,-0.69
0.70,0.07,-0.77
0.71,-0.00,-0.78
0.61,-0.03,-0.76
0.33,-0.06,-0.62
-0.05,-0.06,-0.58
-0.38,-0.01,-0.76
-0.41,-0.04,-0.85
-0.47,-0.06,-0.88
-0.56,-0.09,-0.81
-0.71,-0.11,-0.80
-0.83,-0.05,-0.84
-0.75,-0.10,-0.69
-0.76,-0.11,-0.61
-0.92,-0.12,-0.58
-0.96,-0.10,-0.69
-0.87,-0.10,-0.75
-0.79,-0.07,-0.79
-0.56,-0.10,-0.80
-0.31,-0.10,-0.82
-0.20,-0.12,-0.86
-0.19,-0.13,-0.94
-0.06,-0.16,-0.93
0.13,-0.20,-0.70
0.36,-0.25,-0.42
0.62,-0.30,-0.33
0.84,-0.30,-0.46
0.99,-0.31,-0.57
1.06,-0.29,-0.58
1.17,-0.26,-0.53
1.27,-0.29,-0.50
1.23,-0.27,-0.44
1.21,-0.28,-0.30
1.16,-0.28,-0.35
1.11,-0.26,-0.43
1.07,-0.24,-0.50
0.98,-0.18,-0.74
0.98,-0.11,-0.97
1.08,-0.12,-0.99
0.99,-0.13,-0.91
0.69,-0.15,-0.76
0.43,-0.13,-0.66
0.27,-0.14,-0.69
0.15,-0.13,-0.84
0.08,-0.13,-0.95
0.03,-0.14,-0.97
-0.14,-0.13,-0.95
-0.37,-0.12,-0.96
-0.68,-0.10,-1.03
-0.99,-0.06,-1.10
-1.23,-0.06,-1.10
-1.38,-0.05,-1.09
-1.34,-0.05,-1.08
-1.22,-0.06,-1.07
-1.16,-0.07,-0.99
-1.20,-0.08,-0.91
-1.13,-0.07,-0.76
-0.92,-0.08,-0.55
-0.73,-0.10,-0.39
-0.67,-0.06,-0.47
-0.51,-0.01,-0.74
-0.21,0.04,-0.97
0.11,0.04,-1.02
0.47,0.03,-0.89
0.78,-0.00,-0.85
1.00,0.01,-1.03
1.20,0.02,-1.26
1.46,0.02,-1.41
1.63,0.01,-1.41
1.61,0.01,-1.42
1.52,0.00,-1.44
1.43,0.00,-1.42
1.39,-0.01,-1.27
1.34,-0.01,-1.12
1.20,-0.01,-1.06
1.00,0.01,-1.10
0.78,0.02,-1.04
0.57,0.02,-0.94
0.37,-0.00,-0.90
0.20,-0.02,-0.91
0.05,-0.05,-0.90
-0.18,-0.06,-0.86
-0.48,-0.08,-0.81
-0.81,-0.07,-0.89
-1.12,-0.08,-0.88
-1.30,-0.09,-0.81
-1.34,-0.11,-0.77
-1.36,-0.16,-0.78
-1.40,-0.18,-0.77
-1.40,-0.20,-0.74
-1.29,-0.24,-0.63
-1.15,-0.25,-0.46
-1.00,-0.27,-0.33
-0.89,-0.24,-0.35
-0.83,-0.22,-0.43
-0.73,-0.17,-0.55
-0.51,-0.11,-0.66
-0.16,-0.09,-0.76
0.18,-0.11,-0.93
0.46,-0.06,-0.96
0.76,-0.04,-1.04
1.01,-0.06,-1.15
1.22,-0.05,-1.26
1.39,-0.06,-1.32
1.51,-0.07,-1.35
1.50,-0.08,-1.37
1.41,-0.08,-1.34
1.39,-0.09,-1.26
1.35,-0.07,-1.22
1.30,-0.05,-1.22
1.20,-0.04,-1.20
0.99,-0.02,-1.14
0.77,-0.01,-1.07
0.59,-0.00,-0.98
0.41,0.00,-0.92
0.18,-0.01,-0.89
-0.07,-0.03,-0.97
-0.32,-0.05,-1.06
-0.57,-0.06,-1.06
-0.81,-0.07,-0.94
-1.06,-0.11,-0.86
-1.31,-0.10,-0.85
-1.46,-0.12,-0.86
-1.54,-0.13,-0.84
-1.62,-0.16,-0.81
-1.62,-0.17,-0.77
-1.49,-0.18,-0.73
-1.31,-0.18,-0.68
-1.20,-0.19,-0.64
-1.10,-0.17,-0.59
-0.94,-0.14,-0.53
-0.76,-0.12,-0.52
-0.57,-0.07,-0.62
-0.27,-0.03,-0.78
0.08,-0.06,-0.92
0.37,-0.01,-0.92
0.74,0.02,-0.96
1.21,0.02,-1.07
1.64,-0.03,-1.17
1.81,-0.05,-1.32
1.73,-0.05,-1.43
1.60,-0.10,-1.37
1.53,-0.09,-1.24
1.52,-0.10,-1.14
1.46,-0.11,-1.06
1.33,-0.10,-0.97
1.19,-0.08,-0.91
1.09,-0.08,-0.92
0.89,-0.07,-0.98
0.62,-0.05,-0.98
0.37,-0.06,-0.85
0.09,-0.11,-0.78
-0.25,-0.11,-0.87
-0.52,-0.11,-0.92
-0.70,-0.13,-0.90
-0.89,-0.14,-0.89
-1.14,-0.13,-0.88
-1.37,-0.16,-0.86
-1.54,-0.18,-0.82
-1.60,-0.19,-0.78
-1.52,-0.20,-0.76
-1.33,-0.22,-0.75
-1.15,-0.23,-0.73
-1.07,-0.21,-0.72
-1.00,-0.19,-0.67
-0.89,-0.15,-0.62
-0.70,-0.11,-0.71
-0.45,-0.07,-0.81
-0.12,-0.04,-0.79
0.23,-0.08,-0.82
0.58,-0.04,-0.88
0.92,-0.02,-1.10
1.17,-0.02,-1.25
1.32,-0.01,-1.30
1.43,-0.01,-1.30
1.60,-0.06,-1.26
1.69,-0.10,-1.17
1.60,-0.09,-1.19
1.44,-0.07,-1.27
1.31,-0.08,-1.27
1.21,-0.06,-1.15
1.07,-0.06,-0.99
0.89,-0.06,-0.92
0.71,-0.06,-0.85
0.50,-0.07,-0.82
0.20,-0.07,-0.87
-0.07,-0.08,-0.92
-0.29,-0.10,-0.95
-0.53,-0.09,-0.98
-0.79,-0.11,-0.96
-1.01,-0.11,-0.91
-1.21,-0.15,-0.87
-1.44,-0.16,-0.89
-1.58,-0.17,-0.94
-1.56,-0.18,-0.91
-1.44,-0.20,-0.84
-1.27,-0.21,-0.80
-1.11,-0.22,-0.73
-0.98,-0.21,-0.67
-0.85,-0.20,-0.65
-0.71,-0.18,-0.56
-0.53,-0.17,-0.41
-0.28,-0.14,-0.40
-0.02,-0.11,-0.61
0.22,-0.10,-0.91
0.49,-0.02,-0.97
0.85,-0.05,-0.96
1.11,-0.02,-1.07
1.28,-0.03,-1.21
1.37,-0.02,-1.33
1.48,-0.08,-1.28
1.50,-0.06,-1.23
1.47,-0.05,-1.24
1.44,-0.05,-1.19
1.32,-0.05,-1.16
1.14,-0.02,-1.14
1.04,-0.01,-1.09
0.93,-0.01,-1.00
0.73,0.00,-0.93
0.49,0.01,-0.92
0.25,-0.00,-0.94
0.00,-0.03,-1.01
-0.24,-0.06,-1.02
-0.43,-0.11,-0.95
-0.62,-0.15,-0.90
-0.83,-0.17,-0.90
-1.06,-0.16,-0.92
-1.28,-0.14,-0.96
-1.44,-0.13,-0.98
-1.53,-0.14,-0.96
-1.50,-0.13,-0.98
-1.35,-0.15,-0.93
-1.17,-0.18,-0.87
-1.05,-0.19,-0.77
-0.97,-0.17,-0.68
-0.78,-0.16,-0.54
-0.61,-0.15,-0.43
-0.53,-0.10,-0.51
-0.38,-0.03,-0.72
-0.09,0.02,-0.87
0.27,0.05,-0.93
0.67,0.06,-0.95
1.01,0.04,-1.02
1.24,0.05,-1.14
1.37,0.05,-1.27
1.42,0.02,-1.32
1.47,0.01,-1.27
1.56,0.00,-1.21
1.60,0.01,-1.22
1.57,0.01,-1.22
1.42,0.02,-1.16
1.24,0.04,-1.09
1.17,0.03,-1.00
1.06,0.02,-0.90
0.84,0.04,-0.87
0.63,0.05,-0.86
0.41,0.03,-0.85
0.14,0.01,-0.93
-0.12,-0.02,-0.94
-0.32,-0.07,-0.89
-0.54,-0.10,-0.90
-0.78,-0.11,-0.93
-1.02,-0.13,-0.93
-1.23,-0.13,-0.94
