timestamp,AX,AY,AZ
0,-0.81,-0.17,-1.30
18,-0.71,-0.16,-1.17
37,-0.60,-0.11,-1.03
55,-0.34,-0.04,-0.74
74,-0.25,-0.17,-0.50
92,-0.46,-0.12,-0.53
111,-0.54,-0.11,-0.76
129,-0.50,-0.13,-0.87
148,-0.44,-0.15,-0.88
166,-0.43,-0.16,-0.82
185,-0.45,-0.15,-0.71
203,-0.43,-0.15,-0.65
222,-0.36,-0.14,-0.73
240,-0.20,-0.12,-0.77
259,-0.08,-0.08,-0.87
277,0.04,-0.08,-0.80
296,-0.03,-0.11,-0.64
314,-0.30,-0.09,-0.76
333,-0.43,-0.13,-1.09
351,-0.38,-0.10,-1.23
370,-0.23,-0.11,-1.30
388,-0.05,-0.13,-1.14
407,0.10,-0.16,-0.91
425,0.14,-0.20,-0.72
444,0.15,-0.15,-0.64
462,0.13,-0.11,-0.70
481,0.10,-0.07,-0.66
499,0.06,-0.06,-0.67
518,0.02,-0.03,-0.83
536,-0.07,-0.02,-1.20
555,-0.03,-0.05,-1.27
573,0.07,-0.08,-1.28
592,0.12,-0.10,-1.22
610,0.10,-0.11,-1.18
629,0.16,-0.07,-1.05
647,0.28,-0.04,-0.82
666,0.38,-0.06,-0.85
684,0.46,-0.01,-0.81
703,0.52,-0.03,-1.09
721,0.26,0.01,-0.96
740,0.15,-0.02,-1.01
758,0.14,-0.01,-1.04
777,0.29,-0.02,-0.97
795,0.40,-0.04,-0.96
814,0.28,-0.03,-1.02
832,-0.02,-0.03,-0.82
851,-0.09,-0.03,-0.80
869,0.16,-0.06,-0.79
888,0.35,-0.07,-0.85
906,0.23,-0.07,-1.00
925,0.05,-0.07,-0.83
943,0.13,-0.06,-0.87
962,0.24,-0.04,-0.91
980,0.32,-0.06,-0.92
999,0.38,-0.08,-0.94
1017,0.42,-0.07,-0.98
1036,0.40,-0.06,-0.95
1054,0.32,-0.07,-0.87
1073,0.30,-0.05,-0.86
1091,0.31,-0.09,-0.92
1110,0.34,-0.07,-0.92
1128,0.37,-0.05,-0.87
1147,0.37,-0.07,-0.78
1165,0.29,-0.04,-0.87
1184,0.30,-0.04,-0.97
1202,0.35,-0.05,-0.95
1221,0.40,-0.05,-1.01
1239,0.44,-0.04,-1.00
1258,0.42,-0.05,-0.98
1276,0.37,-0.05,-0.94
1295,0.35,-0.07,-0.89
1313,0.33,-0.06,-0.92
1332,0.34,-0.07,-0.95
1350,0.34,-0.07,-0.95
1369,0.35,-0.07,-0.94
1387,0.36,-0.07,-0.96
1406,0.35,-0.06,-1.00
1424,0.32,-0.07,-0.99
1443,0.31,-0.06,-0.97
1461,0.28,-0.07,-0.93
1480,0.29,-0.05,-0.92
1498,0.28,-0.06,-0.91
1517,0.25,-0.07,-0.94
1535,0.26,-0.06,-1.03
1554,0.32,-0.07,-1.04
1572,0.33,-0.10,-0.94
1591,0.28,-0.10,-1.01
1609,0.29,-0.11,-1.04
1628,0.20,-0.10,-1.02
1646,0.11,-0.09,-1.03
1665,0.12,-0.08,-0.96
1683,0.15,-0.10,-0.97
1702,0.16,-0.11,-0.89
1720,0.10,-0.11,-0.90
1739,0.02,-0.11,-0.85
1757,-0.04,-0.10,-0.96
1776,0.03,-0.11,-1.03
1794,0.08,-0.11,-1.12
1813,-0.04,-0.10,-1.08
1831,-0.10,-0.12,-1.09
1850,-0.08,-0.11,-1.04
1868,-0.07,-0.10,-0.96
1887,-0.12,-0.10,-0.90
1905,-0.20,-0.11,-0.81
1924,-0.26,-0.12,-0.70
1942,-0.28,-0.12,-0.69
1961,-0.33,-0.13,-0.79
1979,-0.38,-0.12,-0.96
1998,-0.39,-0.12,-1.05
2016,-0.34,-0.13,-1.06
2035,-0.28,-0.14,-0.97
2053,-0.33,-0.10,-0.87
2072,-0.37,-0.13,-0.80
2090,-0.46,-0.13,-0.76
2109,-0.41,-0.14,-0.76
2127,-0.33,-0.15,-0.82
2146,-0.34,-0.15,-0.86
2164,-0.49,-0.13,-0.87
2183,-0.37,-0.13,-0.80
2201,-0.15,-0.14,-0.69
2220,-0.11,-0.12,-0.69
2238,-0.01,-0.11,-0.72
2257,0.09,-0.08,-0.74
2275,0.17,-0.08,-1.01
2294,0.21,-0.09,-1.30
2312,0.29,-0.08,-1.22
2331,0.26,-0.09,-1.00
2349,0.22,-0.13,-0.91
2368,0.24,-0.07,-0.95
2386,0.42,-0.06,-0.91
2405,0.57,-0.06,-0.82
2423,0.62,-0.06,-0.74
2442,0.61,-0.04,-0.70
2460,0.59,-0.05,-0.69
2479,0.64,-0.06,-0.75
2497,0.79,-0.08,-0.94
2516,0.94,-0.09,-0.99
2534,1.01,-0.08,-0.92
2553,0.92,-0.06,-0.77
2571,0.82,-0.06,-0.72
2590,0.78,-0.08,-0.79
2608,0.83,-0.08,-0.82
2627,0.83,-0.11,-0.70
2645,0.77,-0.12,-0.62
2664,0.74,-0.14,-0.72
2682,0.69,-0.13,-0.69
2701,0.48,-0.12,-0.73
2719,0.35,-0.11,-0.78
2738,0.29,-0.15,-0.78
2756,0.18,-0.07,-0.77
2775,-0.28,-0.26,-0.62
2793,-0.53,-0.07,-0.45
2812,-0.73,-0.06,-0.60
2830,-0.76,0.00,-0.99
2849,-0.63,0.05,-1.16
2867,-0.50,-0.01,-1.15
2886,-0.46,-0.09,-1.06
2904,-0.45,-0.05,-0.81
2923,-0.60,-0.05,-0.57
2941,-0.84,-0.03,-0.60
