AX,AY,AZ
0.09,-0.27,0.97
0.10,-0.27,0.97
0.09,-0.27,0.97
0.08,-0.27,0.96
0.08,-0.28,0.96
0.09,-0.27,0.98
0.10,-0.27,0.97
0.10,-0.27,0.98
0.09,-0.27,0.98
0.08,-0.27,0.97
0.07,-0.27,0.97
0.08,-0.27,0.96
0.08,-0.27,0.97
0.08,-0.27,0.99
0.09,-0.27,0.99
0.10,-0.27,1.00
0.08,-0.27,1.00
0.06,-0.27,1.00
0.06,-0.27,0.98
0.07,-0.27,1.00
0.08,-0.27,1.02
0.09,-0.27,1.02
0.09,-0.28,1.04
0.08,-0.28,1.06
0.08,-0.28,1.06
0.08,-0.28,1.10
0.07,-0.28,1.14
0.06,-0.27,1.21
0.09,-0.26,1.31
0.15,-0.27,1.34
0.17,-0.25,1.35
0.15,-0.26,1.34
0.11,-0.27,1.33
0.09,-0.28,1.29
0.11,-0.26,1.32
0.15,-0.26,1.36
0.19,-0.26,1.40
0.22,-0.26,1.42
0.22,-0.25,1.41
0.21,-0.25,1.45
0.19,-0.26,1.53
0.18,-0.28,1.64
0.17,-0.29,1.64
0.16,-0.29,1.44
0.21,-0.28,1.27
0.17,-0.30,1.18
0.10,-0.31,1.14
0.07,-0.34,1.18
0.11,-0.37,1.14
0.12,-0.36,1.12
0.15,-0.36,1.03
0.12,-0.38,1.11
0.07,-0.39,1.18
0.08,-0.40,1.06
0.18,-0.42,0.85
0.20,-0.43,0.67
0.17,-0.46,0.58
0.04,-0.47,0.55
-0.08,-0.50,0.72
-0.10,-0.56,0.85
0.03,-0.54,0.70
0.08,-0.54,0.55
0.11,-0.55,0.39
0.03,-0.53,0.40
-0.01,-0.60,0.44
0.01,-0.61,0.48
0.05,-0.62,0.44
-0.01,-0.61,0.38
-0.05,-0.63,0.34
-0.02,-0.64,0.32
0.04,-0.64,0.23
0.02,-0.64,0.11
0.00,-0.64,0.11
-0.00,-0.64,0.12
0.02,-0.65,0.16
0.01,-0.63,0.13
-0.04,-0.64,0.04
-0.05,-0.62,-0.15
-0.04,-0.62,-0.27
-0.13,-0.64,-0.26
-0.16,-0.65,-0.23
-0.12,-0.64,-0.23
-0.11,-0.62,-0.31
-0.08,-0.62,-0.44
-0.05,-0.59,-0.54
-0.11,-0.59,-0.57
-0.19,-0.58,-0.61
-0.23,-0.56,-0.76
-0.29,-0.55,-0.88
-0.38,-0.54,-0.99
-0.35,-0.53,-1.03
-0.34,-0.52,-1.15
-0.38,-0.52,-1.16
-0.35,-0.51,-1.19
-0.34,-0.52,-1.16
-0.42,-0.54,-1.08
-0.44,-0.56,-1.07
-0.43,-0.58,-1.08
-0.45,-0.60,-1.01
-0.45,-0.63,-0.95
-0.43,-0.63,-0.93
-0.41,-0.64,-0.94
-0.40,-0.64,-0.91
-0.41,-0.64,-0.95
-0.37,-0.63,-0.97
-0.34,-0.62,-1.00
-0.35,-0.61,-1.02
-0.37,-0.61,-1.04
-0.37,-0.59,-1.06
-0.36,-0.58,-1.08
-0.35,-0.57,-1.04
-0.36,-0.56,-0.99
-0.34,-0.56,-0.97
-0.32,-0.55,-0.96
-0.34,-0.55,-0.94
-0.32,-0.55,-0.89
-0.32,-0.54,-0.82
-0.31,-0.54,-0.73
-0.26,-0.54,-0.69
-0.18,-0.53,-0.71
-0.15,-0.52,-0.62
-0.19,-0.50,-0.50
-0.22,-0.49,-0.40
-0.19,-0.49,-0.33
-0.17,-0.47,-0.27
-0.11,-0.47,-0.17
-0.02,-0.45,-0.10
0.05,-0.45,-0.01
0.10,-0.45,0.12
0.13,-0.44,0.17
0.07,-0.43,0.32
0.03,-0.44,0.44
-0.10,-0.45,0.52
-0.17,-0.45,0.61
-0.16,-0.46,0.74
-0.02,-0.47,0.81
0.09,-0.48,0.83
0.17,-0.48,0.84
0.28,-0.46,0.83
0.29,-0.46,0.78
0.04,-0.43,0.83
-0.15,-0.43,0.88
-0.19,-0.41,0.91
-0.12,-0.37,0.96
0.07,-0.35,1.04
0.22,-0.34,1.09
0.29,-0.35,1.13
0.29,-0.34,1.11
0.26,-0.33,1.07
0.20,-0.32,1.07
0.12,-0.31,1.08
0.12,-0.30,1.13
0.11,-0.28,1.18
0.15,-0.27,1.23
0.18,-0.26,1.23
0.21,-0.25,1.27
0.24,-0.25,1.24
0.26,-0.25,1.27
0.27,-0.24,1.27
0.24,-0.23,1.26
0.23,-0.22,1.19
0.18,-0.22,1.21
0.15,-0.21,1.21
0.22,-0.20,1.20
0.29,-0.21,1.22
0.33,-0.19,1.21
0.29,-0.21,1.27
0.23,-0.22,1.38
0.17,-0.22,1.35
0.18,-0.21,1.26
0.17,-0.21,1.18
0.15,-0.20,1.17
0.12,-0.19,1.21
0.13,-0.19,1.22
0.14,-0.18,1.20
0.11,-0.16,1.18
-0.05,-0.11,1.56
0.80,-0.03,2.88
0.48,-0.11,1.33
-0.24,-0.16,0.49
-0.23,-0.21,0.62
0.13,-0.20,0.91
0.34,-0.19,0.91
0.14,-0.17,0.89
0.06,-0.18,1.04
0.03,-0.17,1.05
0.01,-0.16,1.10
0.02,-0.16,1.21
0.06,-0.13,1.31
0.13,-0.12,1.39
0.22,-0.13,1.40
0.21,-0.12,1.44
0.23,-0.13,1.50
0.23,-0.11,1.46
0.25,-0.10,1.49
0.27,-0.11,1.56
0.28,-0.12,1.60
0.28,-0.12,1.65
0.29,-0.14,1.69
0.30,-0.14,1.66
0.29,-0.15,1.57
0.26,-0.16,1.44
0.22,-0.17,1.30
0.19,-0.20,1.14
0.08,-0.24,1.11
0.01,-0.25,1.16
0.03,-0.28,1.18
0.13,-0.31,1.18
0.17,-0.32,1.16
0.12,-0.32,1.11
0.09,-0.34,1.03
0.03,-0.34,0.98
0.03,-0.36,0.86
0.10,-0.38,0.76
0.09,-0.40,0.71
-0.00,-0.43,0.77
-0.04,-0.47,0.72
-0.03,-0.48,0.66
-0.03,-0.51,0.66
-0.09,-0.52,0.56
-0.11,-0.53,0.49
-0.10,-0.54,0.53
-0.05,-0.56,0.48
0.01,-0.60,0.49
0.06,-0.62,0.50
-0.00,-0.64,0.48
-0.08,-0.64,0.41
-0.15,-0.66,0.42
-0.11,-0.68,0.40
-0.06,-0.70,0.40
-0.06,-0.71,0.42
-0.08,-0.71,0.36
0.01,-0.73,0.34
-0.03,-0.73,0.24
-0.07,-0.75,0.15
-0.12,-0.76,0.17
-0.12,-0.77,0.13
-0.12,-0.78,0.18
-0.15,-0.80,0.20
-0.11,-0.80,0.18
-0.08,-0.80,0.13
-0.04,-0.80,0.12
-0.03,-0.81,0.12
-0.08,-0.81,0.13
-0.09,-0.82,0.09
-0.05,-0.81,-0.11
-0.08,-0.82,-0.20
-0.11,-0.83,-0.19
-0.13,-0.83,-0.12
-0.07,-0.83,-0.05
0.02,-0.83,-0.11
0.05,-0.82,-0.20
0.06,-0.81,-0.26
-0.01,-0.81,-0.31
-0.06,-0.80,-0.36
-0.09,-0.81,-0.37
-0.12,-0.83,-0.31
-0.06,-0.84,-0.25
-0.04,-0.83,-0.31
-0.03,-0.82,-0.35
-0.03,-0.81,-0.42
-0.01,-0.80,-0.52
-0.04,-0.78,-0.54
-0.12,-0.79,-0.49
-0.13,-0.79,-0.52
-0.11,-0.79,-0.47
-0.10,-0.79,-0.51
-0.13,-0.78,-0.60
-0.14,-0.78,-0.64
-0.16,-0.77,-0.70
-0.12,-0.77,-0.65
-0.08,-0.76,-0.67
-0.06,-0.75,-0.70
-0.08,-0.75,-0.78
-0.21,-0.76,-0.78
-0.30,-0.77,-0.79
-0.29,-0.77,-0.78
-0.27,-0.78,-0.77
-0.27,-0.78,-0.80
-0.27,-0.78,-0.80
-0.28,-0.78,-0.79
-0.29,-0.80,-0.71
-0.27,-0.81,-0.61
-0.20,-0.81,-0.61
-0.17,-0.81,-0.62
-0.16,-0.80,-0.68
-0.18,-0.78,-0.72
-0.21,-0.77,-0.79
-0.25,-0.75,-0.86
-0.23,-0.73,-0.88
-0.18,-0.71,-0.91
-0.14,-0.70,-0.91
-0.10,-0.69,-0.94
-0.09,-0.68,-0.93
-0.12,-0.67,-0.86
-0.13,-0.67,-0.83
-0.12,-0.67,-0.88
-0.14,-0.66,-0.86
-0.17,-0.66,-0.85
-0.21,-0.65,-0.80
-0.24,-0.66,-0.71
-0.19,-0.65,-0.65
-0.13,-0.66,-0.58
-0.07,-0.66,-0.57
-0.01,-0.66,-0.56
0.05,-0.65,-0.60
0.07,-0.63,-0.58
-0.15,-0.61,-0.45
-0.35,-0.62,-0.30
-0.39,-0.63,-0.18
-0.27,-0.64,-0.18
-0.13,-0.63,-0.19
0.01,-0.64,-0.17
0.11,-0.64,-0.06
0.24,-0.64,-0.00
0.33,-0.62,-0.02
0.22,-0.59,0.06
-0.17,-0.60,0.34
-0.40,-0.62,0.53
-0.44,-0.65,0.62
-0.29,-0.66,0.58
-0.12,-0.67,0.49
0.03,-0.66,0.47
0.15,-0.66,0.46
0.23,-0.69,0.46
0.19,-0.64,0.39
-0.17,-0.61,0.45
-0.45,-0.59,0.63
-0.50,-0.58,0.75
-0.32,-0.58,0.85
-0.16,-0.56,0.86
-0.02,-0.57,0.84
0.06,-0.56,0.86
0.14,-0.55,0.88
0.22,-0.55,0.86
0.10,-0.58,0.95
-0.21,-0.48,1.05
-0.33,-0.51,0.99
-0.35,-0.49,1.00
-0.21,-0.49,0.91
-0.13,-0.45,0.90
-0.04,-0.43,1.00
0.03,-0.42,1.12
0.14,-0.41,1.16
0.16,-0.40,1.17
-0.02,-0.39,1.17
-0.13,-0.38,1.17
-0.22,-0.37,1.12
-0.21,-0.38,1.19
-0.13,-0.37,1.16
-0.10,-0.37,1.11
-0.03,-0.37,1.11
-0.00,-0.36,1.11
0.00,-0.34,1.07
0.01,-0.32,1.09
-0.01,-0.30,1.03
-0.03,-0.30,1.13
-0.03,-0.31,1.16
-0.03,-0.31,1.25
-0.02,-0.29,1.22
-0.03,-0.29,1.10
-0.02,-0.27,1.06
-0.01,-0.26,1.09
-0.03,-0.25,1.07
-0.05,-0.24,1.06
-0.10,-0.22,1.08
-0.09,-0.21,1.14
-0.71,-0.37,2.37
0.67,0.13,4.00
0.88,-0.18,1.14
-0.39,-0.20,-0.73
-0.41,-0.27,-0.11
-0.22,-0.31,1.04
0.08,-0.30,1.04
0.15,-0.28,0.76
0.04,-0.26,0.77
-0.09,-0.26,0.85
-0.21,-0.26,1.15
-0.10,-0.24,1.53
-0.08,-0.25,1.27
-0.11,-0.26,0.96
-0.11,-0.27,0.78
-0.11,-0.28,0.82
-0.07,-0.28,0.94
-0.05,-0.27,1.04
-0.08,-0.28,1.05
-0.09,-0.27,1.02
-0.10,-0.27,0.95
-0.11,-0.27,0.94
-0.12,-0.26,0.98
-0.11,-0.27,0.98
-0.12,-0.26,0.97
-0.10,-0.27,0.96
-0.10,-0.27,0.99
-0.11,-0.27,0.98
-0.08,-0.28,1.00
-0.06,-0.27,1.00
-0.06,-0.27,0.96
-0.06,-0.27,0.97
-0.07,-0.26,0.98
-0.05,-0.26,0.97
-0.06,-0.26,1.00
-0.09,-0.26,1.00
-0.08,-0.26,0.96
-0.07,-0.26,0.99
-0.05,-0.25,1.01
-0.05,-0.25,0.99
-0.06,-0.25,0.94
-0.05,-0.25,0.99
-0.05,-0.26,0.99
-0.06,-0.26,1.00
-0.06,-0.26,0.99
-0.07,-0.26,0.99
-0.08,-0.26,0.96
-0.06,-0.26,0.99
-0.08,-0.27,1.00
-0.09,-0.26,0.99
-0.10,-0.26,0.96
-0.11,-0.26,0.98
-0.11,-0.26,0.98
