timestamp,AX,AY,AZ
0,0.09,-0.27,0.97
18,0.10,-0.27,0.97
37,0.09,-0.27,0.97
55,0.08,-0.27,0.96
74,0.08,-0.28,0.96
92,0.09,-0.27,0.98
111,0.10,-0.27,0.97
129,0.10,-0.27,0.98
148,0.09,-0.27,0.98
166,0.08,-0.27,0.97
185,0.07,-0.27,0.97
203,0.08,-0.27,0.96
222,0.08,-0.27,0.97
240,0.08,-0.27,0.99
259,0.09,-0.27,0.99
277,0.10,-0.27,1.00
296,0.08,-0.27,1.00
314,0.06,-0.27,1.00
333,0.06,-0.27,0.98
351,0.07,-0.27,1.00
370,0.08,-0.27,1.02
388,0.09,-0.27,1.02
407,0.09,-0.28,1.04
425,0.08,-0.28,1.06
444,0.08,-0.28,1.06
462,0.08,-0.28,1.10
481,0.07,-0.28,1.14
499,0.06,-0.27,1.21
518,0.09,-0.26,1.31
536,0.15,-0.27,1.34
555,0.17,-0.25,1.35
573,0.15,-0.26,1.34
592,0.11,-0.27,1.33
610,0.09,-0.28,1.29
629,0.11,-0.26,1.32
647,0.15,-0.26,1.36
666,0.19,-0.26,1.40
684,0.22,-0.26,1.42
703,0.22,-0.25,1.41
721,0.21,-0.25,1.45
740,0.19,-0.26,1.53
758,0.18,-0.28,1.64
777,0.17,-0.29,1.64
795,0.16,-0.29,1.44
814,0.21,-0.28,1.27
832,0.17,-0.30,1.18
851,0.10,-0.31,1.14
869,0.07,-0.34,1.18
888,0.11,-0.37,1.14
906,0.12,-0.36,1.12
925,0.15,-0.36,1.03
943,0.12,-0.38,1.11
962,0.07,-0.39,1.18
980,0.08,-0.40,1.06
999,0.18,-0.42,0.85
1017,0.20,-0.43,0.67
1036,0.17,-0.46,0.58
1054,0.04,-0.47,0.55
1073,-0.08,-0.50,0.72
1091,-0.10,-0.56,0.85
1110,0.03,-0.54,0.70
1128,0.08,-0.54,0.55
1147,0.11,-0.55,0.39
1165,0.03,-0.53,0.40
1184,-0.01,-0.60,0.44
1202,0.01,-0.61,0.48
1221,0.05,-0.62,0.44
1239,-0.01,-0.61,0.38
1258,-0.05,-0.63,0.34
1276,-0.02,-0.64,0.32
1295,0.04,-0.64,0.23
1313,0.02,-0.64,0.11
1332,0.00,-0.64,0.11
1350,-0.00,-0.64,0.12
1369,0.02,-0.65,0.16
1387,0.01,-0.63,0.13
1406,-0.04,-0.64,0.04
1424,-0.05,-0.62,-0.15
1443,-0.04,-0.62,-0.27
1461,-0.13,-0.64,-0.26
1480,-0.16,-0.65,-0.23
1498,-0.12,-0.64,-0.23
1517,-0.11,-0.62,-0.31
1535,-0.08,-0.62,-0.44
1554,-0.05,-0.59,-0.54
1572,-0.11,-0.59,-0.57
1591,-0.19,-0.58,-0.61
1609,-0.23,-0.56,-0.76
1628,-0.29,-0.55,-0.88
1646,-0.38,-0.54,-0.99
1665,-0.35,-0.53,-1.03
1683,-0.34,-0.52,-1.15
1702,-0.38,-0.52,-1.16
1720,-0.35,-0.51,-1.19
1739,-0.34,-0.52,-1.16
1757,-0.42,-0.54,-1.08
1776,-0.44,-0.56,-1.07
1794,-0.43,-0.58,-1.08
1813,-0.45,-0.60,-1.01
1831,-0.45,-0.63,-0.95
1850,-0.43,-0.63,-0.93
1868,-0.41,-0.64,-0.94
1887,-0.40,-0.64,-0.91
1905,-0.41,-0.64,-0.95
1924,-0.37,-0.63,-0.97
1942,-0.34,-0.62,-1.00
1961,-0.35,-0.61,-1.02
1979,-0.37,-0.61,-1.04
1998,-0.37,-0.59,-1.06
2016,-0.36,-0.58,-1.08
2035,-0.35,-0.57,-1.04
2053,-0.36,-0.56,-0.99
2072,-0.34,-0.56,-0.97
2090,-0.32,-0.55,-0.96
2109,-0.34,-0.55,-0.94
2127,-0.32,-0.55,-0.89
2146,-0.32,-0.54,-0.82
2164,-0.31,-0.54,-0.73
2183,-0.26,-0.54,-0.69
2201,-0.18,-0.53,-0.71
2220,-0.15,-0.52,-0.62
2238,-0.19,-0.50,-0.50
2257,-0.22,-0.49,-0.40
2275,-0.19,-0.49,-0.33
2294,-0.17,-0.47,-0.27
2312,-0.11,-0.47,-0.17
2331,-0.02,-0.45,-0.10
2349,0.05,-0.45,-0.01
2368,0.10,-0.45,0.12
2386,0.13,-0.44,0.17
2405,0.07,-0.43,0.32
2423,0.03,-0.44,0.44
2442,-0.10,-0.45,0.52
2460,-0.17,-0.45,0.61
2479,-0.16,-0.46,0.74
2497,-0.02,-0.47,0.81
2516,0.09,-0.48,0.83
2534,0.17,-0.48,0.84
2553,0.28,-0.46,0.83
2571,0.29,-0.46,0.78
2590,0.04,-0.43,0.83
2608,-0.15,-0.43,0.88
2627,-0.19,-0.41,0.91
2645,-0.12,-0.37,0.96
2664,0.07,-0.35,1.04
2682,0.22,-0.34,1.09
2701,0.29,-0.35,1.13
2719,0.29,-0.34,1.11
2738,0.26,-0.33,1.07
2756,0.20,-0.32,1.07
2775,0.12,-0.31,1.08
2793,0.12,-0.30,1.13
2812,0.11,-0.28,1.18
2830,0.15,-0.27,1.23
2849,0.18,-0.26,1.23
2867,0.21,-0.25,1.27
2886,0.24,-0.25,1.24
2904,0.26,-0.25,1.27
2923,0.27,-0.24,1.27
2941,0.24,-0.23,1.26
2960,0.23,-0.22,1.19
2978,0.18,-0.22,1.21
2997,0.15,-0.21,1.21
3015,0.22,-0.20,1.20
3034,0.29,-0.21,1.22
3052,0.33,-0.19,1.21
3071,0.29,-0.21,1.27
3089,0.23,-0.22,1.38
3108,0.17,-0.22,1.35
3126,0.18,-0.21,1.26
3145,0.17,-0.21,1.18
3163,0.15,-0.20,1.17
3182,0.12,-0.19,1.21
3200,0.13,-0.19,1.22
3219,0.14,-0.18,1.20
3237,0.11,-0.16,1.18
3256,-0.05,-0.11,1.56
3274,0.80,-0.03,2.88
3293,0.48,-0.11,1.33
3311,-0.24,-0.16,0.49
3330,-0.23,-0.21,0.62
3348,0.13,-0.20,0.91
3367,0.34,-0.19,0.91
3385,0.14,-0.17,0.89
3404,0.06,-0.18,1.04
3422,0.03,-0.17,1.05
3441,0.01,-0.16,1.10
3459,0.02,-0.16,1.21
3478,0.06,-0.13,1.31
3496,0.13,-0.12,1.39
3515,0.22,-0.13,1.40
3533,0.21,-0.12,1.44
3552,0.23,-0.13,1.50
3570,0.23,-0.11,1.46
3589,0.25,-0.10,1.49
3607,0.27,-0.11,1.56
3626,0.28,-0.12,1.60
3644,0.28,-0.12,1.65
3663,0.29,-0.14,1.69
3681,0.30,-0.14,1.66
3700,0.29,-0.15,1.57
3718,0.26,-0.16,1.44
3737,0.22,-0.17,1.30
3755,0.19,-0.20,1.14
3774,0.08,-0.24,1.11
3792,0.01,-0.25,1.16
3811,0.03,-0.28,1.18
3829,0.13,-0.31,1.18
3848,0.17,-0.32,1.16
3866,0.12,-0.32,1.11
3885,0.09,-0.34,1.03
3903,0.03,-0.34,0.98
3922,0.03,-0.36,0.86
3940,0.10,-0.38,0.76
3959,0.09,-0.40,0.71
3977,-0.00,-0.43,0.77
3996,-0.04,-0.47,0.72
4014,-0.03,-0.48,0.66
4033,-0.03,-0.51,0.66
4051,-0.09,-0.52,0.56
4070,-0.11,-0.53,0.49
4088,-0.10,-0.54,0.53
4107,-0.05,-0.56,0.48
4125,0.01,-0.60,0.49
4144,0.06,-0.62,0.50
4162,-0.00,-0.64,0.48
4181,-0.08,-0.64,0.41
4199,-0.15,-0.66,0.42
4218,-0.11,-0.68,0.40
4236,-0.06,-0.70,0.40
4255,-0.06,-0.71,0.42
4273,-0.08,-0.71,0.36
4292,0.01,-0.73,0.34
4310,-0.03,-0.73,0.24
4329,-0.07,-0.75,0.15
4347,-0.12,-0.76,0.17
4366,-0.12,-0.77,0.13
4384,-0.12,-0.78,0.18
4403,-0.15,-0.80,0.20
4421,-0.11,-0.80,0.18
4440,-0.08,-0.80,0.13
4458,-0.04,-0.80,0.12
4477,-0.03,-0.81,0.12
4495,-0.08,-0.81,0.13
4514,-0.09,-0.82,0.09
4532,-0.05,-0.81,-0.11
4551,-0.08,-0.82,-0.20
4569,-0.11,-0.83,-0.19
4588,-0.13,-0.83,-0.12
4606,-0.07,-0.83,-0.05
4625,0.02,-0.83,-0.11
4643,0.05,-0.82,-0.20
4662,0.06,-0.81,-0.26
4680,-0.01,-0.81,-0.31
4699,-0.06,-0.80,-0.36
4717,-0.09,-0.81,-0.37
4736,-0.12,-0.83,-0.31
4754,-0.06,-0.84,-0.25
4773,-0.04,-0.83,-0.31
4791,-0.03,-0.82,-0.35
4810,-0.03,-0.81,-0.42
4828,-0.01,-0.80,-0.52
4847,-0.04,-0.78,-0.54
4865,-0.12,-0.79,-0.49
4884,-0.13,-0.79,-0.52
4902,-0.11,-0.79,-0.47
4921,-0.10,-0.79,-0.51
4939,-0.13,-0.78,-0.60
4958,-0.14,-0.78,-0.64
4976,-0.16,-0.77,-0.70
4995,-0.12,-0.77,-0.65
5013,-0.08,-0.76,-0.67
5032,-0.06,-0.75,-0.70
5050,-0.08,-0.75,-0.78
5069,-0.21,-0.76,-0.78
5087,-0.30,-0.77,-0.79
5106,-0.29,-0.77,-0.78
5124,-0.27,-0.78,-0.77
5143,-0.27,-0.78,-0.80
5161,-0.27,-0.78,-0.80
5180,-0.28,-0.78,-0.79
5198,-0.29,-0.80,-0.71
5217,-0.27,-0.81,-0.61
5235,-0.20,-0.81,-0.61
5254,-0.17,-0.81,-0.62
5272,-0.16,-0.80,-0.68
5291,-0.18,-0.78,-0.72
5309,-0.21,-0.77,-0.79
5328,-0.25,-0.75,-0.86
5346,-0.23,-0.73,-0.88
5365,-0.18,-0.71,-0.91
5383,-0.14,-0.70,-0.91
5402,-0.10,-0.69,-0.94
5420,-0.09,-0.68,-0.93
5439,-0.12,-0.67,-0.86
5457,-0.13,-0.67,-0.83
5476,-0.12,-0.67,-0.88
5494,-0.14,-0.66,-0.86
5513,-0.17,-0.66,-0.85
5531,-0.21,-0.65,-0.80
5550,-0.24,-0.66,-0.71
5568,-0.19,-0.65,-0.65
5587,-0.13,-0.66,-0.58
5605,-0.07,-0.66,-0.57
5624,-0.01,-0.66,-0.56
5642,0.05,-0.65,-0.60
5661,0.07,-0.63,-0.58
5679,-0.15,-0.61,-0.45
5698,-0.35,-0.62,-0.30
5716,-0.39,-0.63,-0.18
5735,-0.27,-0.64,-0.18
5753,-0.13,-0.63,-0.19
5772,0.01,-0.64,-0.17
5790,0.11,-0.64,-0.06
5809,0.24,-0.64,-0.00
5827,0.33,-0.62,-0.02
5846,0.22,-0.59,0.06
5864,-0.17,-0.60,0.34
5883,-0.40,-0.62,0.53
5901,-0.44,-0.65,0.62
5920,-0.29,-0.66,0.58
5938,-0.12,-0.67,0.49
5957,0.03,-0.66,0.47
5975,0.15,-0.66,0.46
5994,0.23,-0.69,0.46
6012,0.19,-0.64,0.39
6031,-0.17,-0.61,0.45
6049,-0.45,-0.59,0.63
6068,-0.50,-0.58,0.75
6086,-0.32,-0.58,0.85
6105,-0.16,-0.56,0.86
6123,-0.02,-0.57,0.84
6142,0.06,-0.56,0.86
6160,0.14,-0.55,0.88
6179,0.22,-0.55,0.86
6197,0.10,-0.58,0.95
6216,-0.21,-0.48,1.05
6234,-0.33,-0.51,0.99
6253,-0.35,-0.49,1.00
6271,-0.21,-0.49,0.91
6290,-0.13,-0.45,0.90
6308,-0.04,-0.43,1.00
6327,0.03,-0.42,1.12
6345,0.14,-0.41,1.16
6364,0.16,-0.40,1.17
6382,-0.02,-0.39,1.17
6401,-0.13,-0.38,1.17
6419,-0.22,-0.37,1.12
6438,-0.21,-0.38,1.19
6456,-0.13,-0.37,1.16
6475,-0.10,-0.37,1.11
6493,-0.03,-0.37,1.11
6512,-0.00,-0.36,1.11
6530,0.00,-0.34,1.07
6549,0.01,-0.32,1.09
6567,-0.01,-0.30,1.03
6586,-0.03,-0.30,1.13
6604,-0.03,-0.31,1.16
6623,-0.03,-0.31,1.25
6641,-0.02,-0.29,1.22
6660,-0.03,-0.29,1.10
6678,-0.02,-0.27,1.06
6697,-0.01,-0.26,1.09
6715,-0.03,-0.25,1.07
6734,-0.05,-0.24,1.06
6752,-0.10,-0.22,1.08
6771,-0.09,-0.21,1.14
6789,-0.71,-0.37,2.37
6808,0.67,0.13,4.00
6826,0.88,-0.18,1.14
6845,-0.39,-0.20,-0.73
6863,-0.41,-0.27,-0.11
6882,-0.22,-0.31,1.04
6900,0.08,-0.30,1.04
6919,0.15,-0.28,0.76
6937,0.04,-0.26,0.77
6956,-0.09,-0.26,0.85
6974,-0.21,-0.26,1.15
6993,-0.10,-0.24,1.53
7011,-0.08,-0.25,1.27
7030,-0.11,-0.26,0.96
7048,-0.11,-0.27,0.78
7067,-0.11,-0.28,0.82
7085,-0.07,-0.28,0.94
7104,-0.05,-0.27,1.04
7122,-0.08,-0.28,1.05
7141,-0.09,-0.27,1.02
7159,-0.10,-0.27,0.95
7178,-0.11,-0.27,0.94
7196,-0.12,-0.26,0.98
7215,-0.11,-0.27,0.98
7233,-0.12,-0.26,0.97
7252,-0.10,-0.27,0.96
7270,-0.10,-0.27,0.99
7289,-0.11,-0.27,0.98
7307,-0.08,-0.28,1.00
7326,-0.06,-0.27,1.00
7344,-0.06,-0.27,0.96
7363,-0.06,-0.27,0.97
7381,-0.07,-0.26,0.98
7400,-0.05,-0.26,0.97
7418,-0.06,-0.26,1.00
7437,-0.09,-0.26,1.00
7455,-0.08,-0.26,0.96
7474,-0.07,-0.26,0.99
7492,-0.05,-0.25,1.01
7511,-0.05,-0.25,0.99
7529,-0.06,-0.25,0.94
7548,-0.05,-0.25,0.99
7566,-0.05,-0.26,0.99
7585,-0.06,-0.26,1.00
7603,-0.06,-0.26,0.99
7622,-0.07,-0.26,0.99
7640,-0.08,-0.26,0.96
7659,-0.06,-0.26,0.99
7677,-0.08,-0.27,1.00
7696,-0.09,-0.26,0.99
7714,-0.10,-0.26,0.96
7733,-0.11,-0.26,0.98
7751,-0.11,-0.26,0.98
7770,-0.07,-0.26,1.00
7788,-0.05,-0.26,1.00
7807,-0.05,-0.27,0.99
7825,-0.05,-0.26,0.97
7844,-0.07,-0.26,1.00
7862,-0.12,-0.25,1.02
7881,-0.12,-0.25,1.07
7899,-0.10,-0.24,1.14
7918,-0.08,-0.25,1.25
7936,-0.05,-0.25,1.39
7955,-0.07,-0.24,1.43
7973,-0.01,-0.21,1.48
7992,0.08,-0.21,1.56
8010,0.18,-0.21,1.61
8029,0.18,-0.20,1.58
8047,0.14,-0.20,1.54
8066,0.10,-0.19,1.56
8084,0.07,-0.19,1.64
8103,0.09,-0.20,1.68
8121,0.13,-0.20,1.70
8140,0.16,-0.17,1.65
8158,0.16,-0.17,1.63
8177,0.12,-0.17,1.65
8195,0.19,-0.18,1.63
8214,0.23,-0.20,1.62
8232,0.22,-0.20,1.52
8251,0.22,-0.21,1.42
8269,0.15,-0.23,1.40
8288,0.01,-0.22,1.34
8306,0.03,-0.24,1.24
8325,0.09,-0.26,1.19
8343,0.03,-0.25,1.03
8362,-0.01,-0.26,0.86
8380,-0.02,-0.29,0.74
8399,-0.09,-0.30,0.63
8417,-0.11,-0.34,0.48
8436,-0.13,-0.36,0.38
8454,-0.09,-0.39,0.30
8473,-0.06,-0.42,0.20
8491,-0.06,-0.44,0.19
8510,-0.07,-0.49,0.33
8528,-0.08,-0.50,0.29
8547,-0.05,-0.49,0.13
8565,-0.06,-0.52,0.12
8584,-0.16,-0.55,0.15
8602,-0.15,-0.55,0.12
8621,-0.09,-0.56,0.07
8639,-0.08,-0.58,0.00
8658,-0.09,-0.58,-0.15
8676,-0.15,-0.61,-0.21
8695,-0.18,-0.65,-0.09
8713,-0.17,-0.66,-0.13
8732,-0.12,-0.66,-0.18
8750,-0.10,-0.66,-0.18
8769,-0.08,-0.67,-0.14
8787,-0.05,-0.68,-0.15
8806,-0.12,-0.69,-0.23
8824,-0.14,-0.70,-0.36
8843,-0.15,-0.70,-0.34
8861,-0.16,-0.70,-0.36
8880,-0.16,-0.70,-0.29
8898,-0.15,-0.70,-0.22
8917,-0.05,-0.68,-0.29
8935,0.00,-0.67,-0.42
8954,-0.01,-0.65,-0.53
8972,-0.10,-0.64,-0.64
8991,-0.18,-0.64,-0.68
9009,-0.24,-0.64,-0.72
9028,-0.26,-0.62,-0.75
9046,-0.21,-0.61,-0.78
9065,-0.19,-0.58,-0.86
9083,-0.18,-0.57,-0.93
9102,-0.25,-0.56,-1.03
9120,-0.29,-0.56,-1.12
9139,-0.35,-0.56,-1.13
9157,-0.34,-0.56,-1.13
9176,-0.37,-0.57,-1.09
9194,-0.40,-0.58,-0.99
9213,-0.37,-0.59,-1.00
9231,-0.35,-0.60,-1.02
9250,-0.37,-0.60,-1.04
9268,-0.36,-0.59,-1.11
9287,-0.34,-0.58,-1.07
9305,-0.35,-0.59,-1.01
9324,-0.33,-0.59,-1.02
9342,-0.29,-0.61,-1.00
9361,-0.27,-0.61,-0.96
9379,-0.25,-0.62,-0.92
9398,-0.25,-0.63,-0.87
9416,-0.19,-0.63,-0.84
9435,-0.15,-0.62,-0.87
9453,-0.12,-0.62,-0.90
9472,-0.09,-0.60,-0.94
9490,-0.10,-0.60,-0.93
9509,-0.15,-0.60,-0.90
9527,-0.18,-0.60,-0.86
9546,-0.25,-0.61,-0.79
9564,-0.34,-0.63,-0.73
9583,-0.38,-0.64,-0.71
9601,-0.36,-0.65,-0.64
9620,-0.34,-0.65,-0.59
9638,-0.26,-0.64,-0.60
9657,-0.17,-0.63,-0.65
9675,-0.11,-0.60,-0.62
9694,-0.14,-0.57,-0.54
9712,-0.25,-0.57,-0.39
9731,-0.39,-0.57,-0.25
9749,-0.40,-0.57,-0.14
9768,-0.34,-0.57,-0.09
9786,-0.24,-0.56,-0.10
9805,-0.14,-0.55,-0.15
9823,-0.02,-0.53,-0.13
9842,0.13,-0.51,-0.06
9860,0.26,-0.49,0.07
9879,0.23,-0.47,0.22
9897,-0.05,-0.49,0.43
9916,-0.28,-0.53,0.67
9934,-0.37,-0.56,0.71
9953,-0.41,-0.57,0.69
9971,-0.28,-0.55,0.60
9990,-0.18,-0.57,0.56
10008,-0.01,-0.53,0.64
10027,0.07,-0.56,0.67
10045,0.15,-0.55,0.71
10064,0.13,-0.54,0.76
10082,0.02,-0.55,0.81
10101,-0.17,-0.55,0.95
10119,-0.27,-0.56,0.99
